bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
5min_time,2024-01-03,11,2024-01-03 10:25:00,2024-01-03 10:29:00,3377.58,3378.28,3377.02,3378.28,174549200.0,2871583100.0,5,False
5min_time,2024-01-03,12,2024-01-03 10:30:00,2024-01-03 10:34:00,3379.51,3380.25,3379.13,3380.25,179816300.0,2811961300.0,5,False
5min_time,2024-01-03,13,2024-01-03 10:35:00,2024-01-03 10:39:00,3378.35,3378.35,3376.84,3376.84,166429400.0,2861755900.0,5,False
5min_time,2024-01-03,14,2024-01-03 10:40:00,2024-01-03 10:44:00,3376.46,3377.51,3376.46,3377.51,138455400.0,2384641100.0,5,False
5min_time,2024-01-03,15,2024-01-03 10:45:00,2024-01-03 10:49:00,3377.39,3377.75,3374.83,3377.75,179720600.0,2842936200.0,5,False
5min_time,2024-01-03,16,2024-01-03 10:50:00,2024-01-03 10:54:00,3376.45,3377.13,3376.45,3377.09,148437500.0,2314177300.0,5,False
5min_time,2024-01-03,17,2024-01-03 10:55:00,2024-01-03 10:59:00,3376.73,3380.1,3376.45,3379.6,195897200.0,2571865300.0,5,False
5min_time,2024-01-03,18,2024-01-03 11:00:00,2024-01-03 11:04:00,3379.62,3379.62,3376.45,3376.84,201808400.0,2775865900.0,5,False
5min_time,2024-01-03,19,2024-01-03 11:05:00,2024-01-03 11:09:00,3376.57,3376.61,3375.52,3375.52,208026500.0,2886647000.0,5,False
5min_time,2024-01-03,20,2024-01-03 11:10:00,2024-01-03 11:14:00,3376.26,3376.26,3372.57,3372.57,204172000.0,3269898100.0,5,False
5min_time,2024-01-03,21,2024-01-03 11:15:00,2024-01-03 11:19:00,3374.01,3374.53,3371.17,3371.17,238418400.0,3244300600.0,5,False
5min_time,2024-01-03,22,2024-01-03 11:20:00,2024-01-03 11:24:00,3373.24,3373.24,3369.45,3369.45,178039300.0,2785811000.0,5,False
5min_time,2024-01-03,23,2024-01-03 11:25:00,2024-01-03 11:29:00,3369.78,3369.88,3368.94,3368.94,152645300.0,2366841200.0,5,False
5min_time,2024-01-03,24,2024-01-03 11:30:00,2024-01-03 13:03:00,3369.0,3369.0,3366.51,3366.51,220285600.0,3288532900.0,5,False
5min_time,2024-01-03,25,2024-01-03 13:04:00,2024-01-03 13:08:00,3364.89,3365.98,3364.09,3364.86,176587700.0,3067596600.0,5,False
5min_time,2024-01-03,26,2024-01-03 13:09:00,2024-01-03 13:13:00,3366.1,3367.71,3365.5,3365.5,167964500.0,2529382700.0,5,False
5min_time,2024-01-03,27,2024-01-03 13:14:00,2024-01-03 13:18:00,3364.86,3366.02,3363.8,3365.14,169606900.0,2538668200.0,5,False
5min_time,2024-01-03,28,2024-01-03 13:19:00,2024-01-03 13:23:00,3364.62,3365.91,3364.36,3365.2,149205700.0,2452884000.0,5,False
5min_time,2024-01-03,29,2024-01-03 13:24:00,2024-01-03 13:28:00,3364.85,3366.52,3364.09,3364.09,155000800.0,2487260500.0,5,False
5min_time,2024-01-03,30,2024-01-03 13:29:00,2024-01-03 13:33:00,3363.81,3364.94,3363.69,3364.94,147692400.0,2445876700.0,5,False
5min_time,2024-01-03,31,2024-01-03 13:34:00,2024-01-03 13:38:00,3365.07,3371.92,3365.07,3368.85,194335600.0,3052375700.0,5,False
5min_time,2024-01-03,32,2024-01-03 13:39:00,2024-01-03 13:43:00,3367.12,3367.12,3363.44,3363.44,156093900.0,2524437300.0,5,False
5min_time,2024-01-03,33,2024-01-03 13:44:00,2024-01-03 13:48:00,3363.32,3365.12,3363.32,3365.1,118065000.0,2004964400.0,5,False
5min_time,2024-01-03,34,2024-01-03 13:49:00,2024-01-03 13:53:00,3364.82,3364.82,3363.73,3363.73,118702700.0,2028066400.0,5,False
5min_time,2024-01-03,35,2024-01-03 13:54:00,2024-01-03 13:58:00,3363.13,3365.25,3362.67,3365.0,139354500.0,2208633300.0,5,False
5min_time,2024-01-03,36,2024-01-03 13:59:00,2024-01-03 14:03:00,3364.65,3365.15,3363.17,3365.15,163550800.0,2241433800.0,5,False
5min_time,2024-01-03,37,2024-01-03 14:04:00,2024-01-03 14:08:00,3367.2,3367.91,3367.2,3367.8,147309800.0,2236360900.0,5,False
5min_time,2024-01-03,38,2024-01-03 14:09:00,2024-01-03 14:13:00,3369.3,3372.51,3369.3,3370.38,166336800.0,2771685200.0,5,False
5min_time,2024-01-03,39,2024-01-03 14:14:00,2024-01-03 14:18:00,3369.51,3373.73,3369.51,3373.73,139861300.0,2350852700.0,5,False
5min_time,2024-01-03,40,2024-01-03 14:19:00,2024-01-03 14:23:00,3375.85,3377.74,3374.49,3375.8,192230800.0,3052034100.0,5,False
5min_time,2024-01-03,41,2024-01-03 14:24:00,2024-01-03 14:28:00,3375.71,3381.19,3375.71,3380.43,228092100.0,3628844400.0,5,False
5min_time,2024-01-03,42,2024-01-03 14:29:00,2024-01-03 14:33:00,3380.26,3383.67,3379.2,3379.2,233532400.0,3415473300.0,5,False
5min_time,2024-01-03,43,2024-01-03 14:34:00,2024-01-03 14:38:00,3378.71,3378.71,3377.02,3377.17,164919900.0,2513348100.0,5,False
5min_time,2024-01-03,44,2024-01-03 14:39:00,2024-01-03 14:43:00,3377.95,3378.6,3377.88,3378.6,176563300.0,2772477500.0,5,False
5min_time,2024-01-03,45,2024-01-03 14:44:00,2024-01-03 14:48:00,3378.34,3378.87,3377.79,3378.67,195480000.0,2948127300.0,5,False
5min_time,2024-01-03,46,2024-01-03 14:49:00,2024-01-03 14:53:00,3379.16,3379.16,3378.49,3379.03,237118000.0,3447083500.0,5,False
5min_time,2024-01-03,47,2024-01-03 14:54:00,2024-01-03 14:58:00,3378.53,3378.64,3377.91,3378.64,181817500.0,2724135700.0,5,False
5min_time,2024-01-03,48,2024-01-03 14:59:00,2024-01-03 15:00:00,3378.64,3378.64,3378.3,3378.3,111871500.0,1728501400.0,2,True
5min_time,2024-01-04,0,2024-01-04 09:30:00,2024-01-04 09:34:00,3369.99,3372.53,3369.99,3370.09,768548000.0,11021114000.0,5,False
5min_time,2024-01-04,1,2024-01-04 09:35:00,2024-01-04 09:39:00,3365.76,3366.58,3360.68,3360.68,481500900.0,8043167400.0,5,False
5min_time,2024-01-04,2,2024-01-04 09:40:00,2024-01-04 09:44:00,3361.13,3361.13,3357.89,3357.89,363871800.0,6254665100.0,5,False
5min_time,2024-01-04,3,2024-01-04 09:45:00,2024-01-04 09:49:00,3361.48,3361.48,3355.49,3355.54,356256400.0,5475185500.0,5,False
5min_time,2024-01-04,4,2024-01-04 09:50:00,2024-01-04 09:54:00,3353.46,3355.66,3351.9,3354.87,352101900.0,5167859600.0,5,False
5min_time,2024-01-04,5,2024-01-04 09:55:00,2024-01-04 09:59:00,3356.37,3356.37,3351.75,3351.75,284215600.0,4669289300.0,5,False
5min_time,2024-01-04,6,2024-01-04 10:00:00,2024-01-04 10:04:00,3349.56,3349.84,3346.6,3347.04,316197400.0,5076680200.0,5,False
5min_time,2024-01-04,7,2024-01-04 10:05:00,2024-01-04 10:09:00,3346.34,3347.44,3346.34,3347.44,211321900.0,3853983700.0,5,False
5min_time,2024-01-04,8,2024-01-04 10:10:00,2024-01-04 10:14:00,3346.35,3346.35,3343.31,3344.05,287529300.0,4504050600.0,5,False
5min_time,2024-01-04,9,2024-01-04 10:15:00,2024-01-04 10:19:00,3343.49,3345.38,3342.93,3345.14,202609700.0,3505709400.0,5,False
5min_time,2024-01-04,10,2024-01-04 10:20:00,2024-01-04 10:24:00,3343.66,3344.91,3343.66,3344.91,169956600.0,2812662900.0,5,False
5min_time,2024-01-04,11,2024-01-04 10:25:00,2024-01-04 10:29:00,3345.73,3346.45,3345.44,3345.93,173597700.0,2718275100.0,5,False
5min_time,2024-01-04,12,2024-01-04 10:30:00,2024-01-04 10:34:00,3344.5,3344.66,3342.45,3342.45,172512300.0,2816326000.0,5,False
5min_time,2024-01-04,13,2024-01-04 10:35:00,2024-01-04 10:39:00,3340.75,3340.75,3339.2,3339.2,199656000.0,3331839700.0,5,False
5min_time,2024-01-04,14,2024-01-04 10:40:00,2024-01-04 10:44:00,3338.34,3338.34,3334.47,3334.47,243340100.0,3725202800.0,5,False
