bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
turnover,2024-01-02,21,2024-01-02 10:50:00,2024-01-02 10:56:00,3397.6,3397.6,3393.19,3393.19,276644500.0,4086965800.0,7,False
turnover,2024-01-02,22,2024-01-02 10:57:00,2024-01-02 11:04:00,3392.77,3395.0,3392.69,3394.3,261344500.0,3930614800.0,8,False
turnover,2024-01-02,23,2024-01-02 11:05:00,2024-01-02 11:13:00,3393.92,3396.48,3393.77,3395.85,244561300.0,3885432000.0,9,False
turnover,2024-01-02,24,2024-01-02 11:14:00,2024-01-02 11:23:00,3395.93,3397.85,3394.2,3394.33,242992200.0,3987519200.0,10,False
turnover,2024-01-02,25,2024-01-02 11:24:00,2024-01-02 13:01:00,3395.14,3395.14,3393.27,3394.61,248488000.0,3956185300.0,9,False
turnover,2024-01-02,26,2024-01-02 13:02:00,2024-01-02 13:09:00,3394.13,3400.15,3394.13,3398.98,290354200.0,4122204800.0,8,False
turnover,2024-01-02,27,2024-01-02 13:10:00,2024-01-02 13:17:00,3398.34,3398.9,3395.99,3396.31,261510400.0,3820974700.0,8,False
turnover,2024-01-02,28,2024-01-02 13:18:00,2024-01-02 13:25:00,3396.46,3396.46,3394.76,3395.41,241370400.0,3871302700.0,8,False
turnover,2024-01-02,29,2024-01-02 13:26:00,2024-01-02 13:33:00,3397.66,3398.32,3396.35,3396.35,274803700.0,4212688400.0,8,False
turnover,2024-01-02,30,2024-01-02 13:34:00,2024-01-02 13:42:00,3397.05,3397.29,3396.61,3396.76,270800000.0,4191014600.0,9,False
turnover,2024-01-02,31,2024-01-02 13:43:00,2024-01-02 13:50:00,3396.59,3397.5,3396.54,3396.54,278899600.0,4069914200.0,8,False
turnover,2024-01-02,32,2024-01-02 13:51:00,2024-01-02 13:58:00,3395.79,3397.39,3395.79,3396.01,267409700.0,4172978400.0,8,False
turnover,2024-01-02,33,2024-01-02 13:59:00,2024-01-02 14:05:00,3396.58,3397.1,3393.87,3393.87,268205700.0,4128776000.0,7,False
turnover,2024-01-02,34,2024-01-02 14:06:00,2024-01-02 14:13:00,3393.56,3396.43,3393.56,3396.25,255824200.0,3894146200.0,8,False
turnover,2024-01-02,35,2024-01-02 14:14:00,2024-01-02 14:20:00,3396.18,3396.18,3393.63,3393.63,242603000.0,3901400500.0,7,False
turnover,2024-01-02,36,2024-01-02 14:21:00,2024-01-02 14:27:00,3393.75,3393.75,3390.39,3390.39,266457700.0,4214290600.0,7,False
turnover,2024-01-02,37,2024-01-02 14:28:00,2024-01-02 14:34:00,3390.06,3393.54,3390.06,3392.18,274169900.0,4128491500.0,7,False
turnover,2024-01-02,38,2024-01-02 14:35:00,2024-01-02 14:41:00,3393.66,3393.66,3391.26,3391.69,267065000.0,4182567700.0,7,False
turnover,2024-01-02,39,2024-01-02 14:42:00,2024-01-02 14:47:00,3391.51,3391.51,3388.63,3388.63,279508100.0,4431620200.0,6,False
turnover,2024-01-02,40,2024-01-02 14:48:00,2024-01-02 14:52:00,3387.33,3389.46,3387.33,3388.3,236910300.0,3924635800.0,5,False
turnover,2024-01-02,41,2024-01-02 14:53:00,2024-01-02 15:00:00,3388.32,3388.32,3386.35,3386.35,351729100.0,5596718800.0,8,False
turnover,2024-01-03,0,2024-01-03 09:30:00,2024-01-03 09:30:00,3380.52,3380.52,3380.52,3380.52,267753200.0,4113027700.0,1,False
turnover,2024-01-03,1,2024-01-03 09:31:00,2024-01-03 09:32:00,3384.17,3390.08,3384.17,3390.08,308518100.0,4600973000.0,2,False
turnover,2024-01-03,2,2024-01-03 09:33:00,2024-01-03 09:35:00,3391.65,3391.65,3389.68,3390.32,294244300.0,5310174700.0,3,False
turnover,2024-01-03,3,2024-01-03 09:36:00,2024-01-03 09:38:00,3388.57,3388.93,3386.54,3386.54,251287400.0,4554378100.0,3,False
turnover,2024-01-03,4,2024-01-03 09:39:00,2024-01-03 09:42:00,3384.49,3384.49,3381.0,3383.72,265179200.0,4754003000.0,4,False
turnover,2024-01-03,5,2024-01-03 09:43:00,2024-01-03 09:46:00,3382.11,3382.43,3382.11,3382.43,253924200.0,3895441300.0,4,False
